date,action,university,dean,event,confidence,url
"2026-07-05","added","Emory University","Saby Mitra","appointment","high","https://news.google.com/rss/articles/CBMimwFBVV95cUxPUEpUWGtZaERES1UxSVlld3VXNUZJVlJPbkFJM3NpbEduVWRUTExjd29mazV1STdDcGdVQ1RtTHJXRnlNODRtRUNWZXRGbU01RGpxRGlYN1hTNUVoM05LZUNxNU9IZkFGMVpjaXFNNkpnU05USm1fMVNRbTJjcmU1eWgwQTFTaE1HUTZrNFhQMDVJRzFsTTRMM3JaRQ?oc=5"
"2026-07-05","skip_duplicate","Emory University","Saby Mitra","appointment","high","https://news.google.com/rss/articles/CBMilAFBVV95cUxQUk1BOGJ1N3BWbzd5RFJKaDQ2ZFNxZ1JmN2tlb2NFTTd3eWNMblNMS2VjYzdBQ2lhRDM0WlpjM2tQclJWWVBER0s1SEhQTDNTeHFtZDdHRWdLcHpmd0s0a09LYkNqRU5LQkJaOVQzaWlLczZ3OXZCaV9wcFAtbGlPN1hNb09kQjlJemY3T1pmaGM4blgy?oc=5"
"2026-07-05","review","Emory University","","appointment","medium","https://news.google.com/rss/articles/CBMimgFBVV95cUxOb3FXQnllTUluRVdzcjdqemJPb3E4bjV4cWJVRUNfSVY5QnEzSHNpWWdXRV9nMVh6ang2Ukl3RHVqMWx3cUYtQ3VPbHlnQzJmTWtOOW9lSlBubGljdmNQU3c0R1JyM1I2cGc5bnRpY3R4ZDh5VHd5U1RSVDVMcUdJemQ2RlJ2dC1SbmlZeW9GSWNwNlMzVXlQNVZn?oc=5"
"2026-07-05","review","University of Pennsylvania","","appointment","medium","https://news.google.com/rss/articles/CBMiuwFBVV95cUxPcHN0WFFjOGdBQkJhUm9fbTNJU3B4aGdqUmJCOV9tb25aaEtka25WRVhHdFBHMnprUWcxWHd5MUxfeHZmbUF1Y010aGhzXy1kZlpzX2h5d2xQRFBHcXFQeXh3YkxpRTRZLXVvREdPV0hGTEpieXdXNHg3VXBaUUhaX0V3eVpPamJtR244ME1yejF1cDVIQTA1RmE2ZzNSZ0NnSm96S3RISnJ4aGtKQWpFcVVYcHBFT0ZGRVhR?oc=5"
"2026-07-05","confirm_ignored","Test University","","name","owner","https://example.com"
"2026-07-05","added","University of Virginia","Yael Grushka-Cockayne","appointment","url-verification-agent","https://news.darden.virginia.edu/2026/06/22/uva-names-yael-grushka-cockayne-as-new-dean/"
"2026-07-06","added","University of Texas at Austin","Bradley Staats","appointment","openings-recheck","https://news.utexas.edu/2026/04/30/bradley-staats-appointed-dean-of-mccombs-school-of-business/"
"2026-07-07","skip_duplicate","University of Virginia","Vice Yael Grushka-Cockayne","appointment","high","https://news.google.com/rss/articles/CBMiwgFBVV95cUxQT19aTl9Ka3dqOGZZdUw0X2lVZElJN09RVWJhNVctWUh4N0JUWW1ZVGNGaTJJY2doT1JtVnR2QTRPRTMyUkYtb1Vyc0REN1cwVnA4TnZnTXdwbWwyTTBibEdXQW5lemt3SGM3SVZ2Y0d1V0syS0Ryc1VJeDRuQ2xpVDJXU0F6NWcteUttaVcySlBiQVhQdFkzc09Kb2pYWVdDV2JJSm9YZnlROVAyZ1oyUnB1RzdjVnNITmlWVEhQek1hdw?oc=5"
"2026-07-07","skip_duplicate","Emory University","Saby Mitra","appointment","high","https://news.google.com/rss/articles/CBMizwFBVV95cUxOXzBfMDA0TFRRall5UUt2ZlNxLVUzcW5KeWl1Qi13Wk1KWWgwMUpVMW12MEVubUtQWEhUOERvXzlKanZCWnRHV3laQjVRaEJsYnVXbDlvQTVlbFFWUnFhbXdWYnA3TEREUE0yd3BQX3N4cjF2WUdCb0x6Ylhlb3FDaVQ2cEtPY3JKZV93N3hYWU51TDF5VVJZdjM4cUNBSE50MnJZRmhXZXFwcmhOQXlsbURoaHRlbTdJb1VRTTRYZUx1UjNnS1BsSFllX1dVcW8?oc=5"
"2026-07-22","banner","Hofstra University","Esteemed Alumnus Brian Ruane","dean/appointment","high","https://news.google.com/rss/articles/CBMiyAFBVV95cUxON2o0WHJiVEFGTFg4VDVCQ25sTGxiRld3dEltQ0JGcC1TYWt2ZHZtRzdYU1QtM0tHSUF1cFFZMHByT1oyVTJZNjRCaF9LRGJCYVdqaENjRkUtZTNWdGhDZWh5Q0RNSnc0SFlWRWd5cUJzcFNZZklXUUpTTDNidFVNdzZhNmNqOGdvUnB4NERQX2JiV1FqWW52cXBkVV9DenIxeGd2Ynkxem9kaHNUOWowWGxxT3lVb3ZNamhpdmZZUnNmQ3VNNFJsaA?oc=5"
